0;FREKVENS;Bar furniture;265.0
1;NORDVIKEN;Bar furniture;995.0
2;NORDVIKEN / NORDVIKEN;Bar furniture;2095.0
3;STIG;Bar furniture;69.0
4;NORBERG;Bar furniture;225.0
5;INGOLF;Bar furniture;345.0
6;FRANKLIN;Bar furniture;129.0
7;DALFRED;Bar furniture;195.0
8;FRANKLIN;Bar furniture;129.0
9;EKEDALEN / EKEDALEN;Bar furniture;2176.0
10;FRANKLIN;Bar furniture;149.0
11;INGOLF;Bar furniture;395.0
12;NORRARYD;Bar furniture;395.0
13;FREKVENS;Bar furniture;177.0
14;EKEDALEN;Bar furniture;345.0
15;TOMMARYD;Bar furniture;695.0
16;HENRIKSDAL;Bar furniture;395.0
17;KULLABERG;Bar furniture;140.0
18;JANINGE;Bar furniture;595.0
19;FRANKLIN;Bar furniture;149.0
20;EKEDALEN;Bar furniture;995.0
21;RÅSKOG;Bar furniture;175.0
22;JANINGE;Bar furniture;595.0
23;EKEDALEN;Bar furniture;796.0
24;EKEDALEN;Bar furniture;345.0
25;EKEDALEN;Bar furniture;345.0
26;EKEDALEN;Bar furniture;796.0
27;HENRIKSDAL;Bar furniture;695.0
28;STENSELE / NORRARYD;Bar furniture;1340.0
29;STENSELE;Bar furniture;550.0
30;NORRÅKER;Bar furniture;595.0
31;HENRIKSDAL;Bar furniture;435.0
32;NORRÅKER / NORRÅKER;Bar furniture;1266.0
33;YNGVAR;Bar furniture;475.0
34;HENRIKSDAL;Bar furniture;40.0
35;NORRÅKER;Bar furniture;395.0
36;NORDVIKEN;Bar furniture;275.0
37;NORRÅKER / NORRARYD;Bar furniture;1385.0
38;EKEDALEN / EKEDALEN;Bar furniture;2375.0
39;EKEDALEN / EKEDALEN;Bar furniture;2176.0
40;BERNHARD;Bar furniture;745.0
41;NORRÅKER / NORRÅKER;Bar furniture;1385.0
42;NORRÅKER / NORRARYD;Bar furniture;1266.0
43;STENSELE;Bar furniture;550.0
44;GLENN;Bar furniture;445.0
45;NORRÅKER / NORRÅKER;Bar furniture;1266.0
46;RÅSKOG;Bar furniture;175.0
47;MINNEN;Beds;395.0
48;BRIMNES;Beds;895.0
49;SMÅGÖRA;Beds;595.0
50;PLATSA;Beds;2111.0
51;VATTVIKEN;Beds;995.0
52;SLÄKT;Beds;540.0
53;BRIMNES;Beds;795.0
54;NEIDEN;Beds;99.0
55;LEIRVIK;Beds;1195.0
56;NEIDEN;Beds;199.0
57;HEMNES;Beds;675.0
58;SLATTUM;Beds;595.0
59;NEIDEN;Beds;199.0
60;SAGSTUA;Beds;545.0
61;BRIMNES;Beds;575.0
62;ASKVOLL;Beds;445.0
63;TRYSIL;Beds;525.0
64;MALM;Beds;495.0
65;RAMSTA;Beds;445.0
66;SONGESAND;Beds;395.0
67;MALM;Beds;920.0
68;SNIGLAR;Beds;195.0
69;LAUVIK;Beds;1729.0
70;BRIMNES;Beds;575.0
71;HEMNES;Beds;1495.0
72;NESTTUN;Beds;595.0
73;TYSSEDAL;Beds;1395.0
74;MALM;Beds;670.0
75;MALM;Beds;445.0
76;SLÄKT;Beds;995.0
77;RIDABU;Beds;100.0
78;KRITTER;Beds;360.0
79;HEMNES;Beds;1375.0
80;PLATSA;Beds;2600.5
81;SAGSTUA;Beds;745.0
82;SANDVIKA;Beds;295.0
83;NEIDEN;Beds;399.0
84;MINNEN;Beds;395.0
85;SLÄKT;Beds;375.0
86;HAMMARN;Beds;399.0
87;BJÖRKSNÄS;Beds;2040.0
88;SLÄKT;Beds;425.0
89;NORDLI;Beds;2290.0
90;FYRESDAL;Beds;549.0
91;SONGESAND;Beds;570.0
92;MALM;Beds;945.0
93;MYDAL;Beds;895.0
94;TUFFING;Beds;475.0
95;SÄBÖVIK;Beds;1745.0
96;LYCKSELE;Beds;100.0
97;TARVA;Beds;871.0
98;HEMNES;Beds;695.0
99;HEMNES;Beds;995.0
100;BUSUNGE;Beds;795.0
101;MARKERAD;Beds;480.0
102;GJÖRA;Beds;1640.0
103;UTÅKER;Beds;695.0
104;BRYNE;Beds;49.0
105;KURA;Beds;745.0
106;FRIHETEN;Beds;1846.0
107;VITVAL;Beds;295.0
108;LURÖY;Beds;100.0
109;SNIGLAR;Beds;295.0
110;HEMNES;Beds;1145.0
111;HEMNES;Beds;1495.0
112;MALM;Beds;545.0
113;SLÄKT;Beds;620.0
114;DELAKTIG;Beds;2195.0
115;STUVA;Beds;1725.0
116;LAUVIK;Beds;2425.0
117;VIMLE;Beds;1400.0
118;KONGSFJORD;Beds;8551.0
119;NYHAMN;Beds;1470.0
120;NYHAMN;Beds;450.0
121;SLÄKT;Beds;1395.0
122;ASKEBY;Beds;995.0
123;BRIMNES;Beds;220.0
124;SUNDVIK;Beds;849.0
125;MALM;Beds;1595.0
126;HEMNES;Beds;2185.0
127;SOLGUL;Beds;395.0
128;MYDAL;Beds;795.0
129;NORDLI;Beds;1595.0
130;VIKARE;Beds;95.0
131;DELAKTIG;Beds;595.0
132;TUFFING;Beds;645.0
133;VALLENTUNA;Beds;1848.0
134;VITVAL;Beds;200.0
135;PLATSA;Beds;2307.0
136;PLATSA;Beds;1195.0
137;PLATSA;Beds;3339.0
138;VITVAL;Beds;1590.0
139;BUSUNGE;Beds;795.0
140;NYHAMN;Beds;600.0
141;BRIMNES;Beds;1095.0
142;SONGESAND;Beds;1245.0
143;LAUVIK;Beds;2146.0
144;SLÄKT;Beds;1260.0
145;SVÄRTA;Beds;895.0
146;VALLENTUNA;Beds;7796.0
147;LYCKSELE MURBO;Beds;1445.0
148;DELAKTIG;Beds;2595.0
149;PLATSA;Beds;1767.0
150;MARKERAD;Beds;267.0
151;LYCKSELE LÖVÅS;Beds;495.0
152;UTÅKER;Beds;1285.0
153;SUNDVIK;Beds;849.0
154;PLATSA;Beds;2905.0
155;BRYNILEN;Beds;30.0
156;FYRESDAL;Beds;1139.0
157;VALLENTUNA;Beds;1160.0
158;DELAKTIG;Beds;1400.0
159;BRIMNES;Beds;220.0
160;SLÄKT;Beds;520.0
161;SUFFLETT;Beds;85.0
162;KURA;Beds;175.0
163;LÖVA;Beds;55.0
164;HEMNES;Beds;2085.0
165;FLEKKE;Beds;1495.0
166;MARKERAD;Beds;1092.0
167;PLATSA;Beds;2163.5
168;KURA;Beds;149.0
169;STUVA / FÖLJA;Beds;1915.0
170;DELAKTIG;Beds;2495.0
171;GRÄLVIKEN;Beds;1995.0
172;HOLMSUND;Beds;2295.0
173;LAUVIK;Beds;2902.0
